Station;221 Karl-Marx-Straße;221 Karl-Marx-Straße;221 Karl-Marx-Straße;221 Karl-Marx-Straße;221 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Jun 2021;27;14;21;4;28
Jul 2021;23;13;19;5;27
Aug 2021;17;10;21;7;31
Sep 2021;24;15;27;10;43
Okt 2021;24;15;29;14;51
Nov 2021;24;18;26;18;54
Dez 2021;25;20;29;17;56
Jan 2022;20;15;25;13;45
Feb 2022;15;10;23;10;39
Mär 2022;34;21;33;11;50
Apr 2022;19;11;21;6;30
Mai 2022;21;11;22;7;33
Jun 2022;19;11;23;6;32
Jul 2022;17;9;20;6;29
Aug 2022;22;11;21;5;28
Sep 2022;17;10;25;12;43
Okt 2022;23;15;31;24;67
Nov 2022;26;20;28;20;58