Station;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Jan 2010;61;;45;45;115
Feb 2010;47;;50;40;110
Mär 2010;53;;57;56;143
Apr 2010;39;;54;42;117
Mai 2010;32;;50;45;120
Jun 2010;32;;54;41;116
Jul 2010;34;;50;31;98
Aug 2010;29;;49;46;120
Sep 2010;28;;49;56;135
Okt 2010;35;;43;56;128
Nov 2010;30;;45;58;135
Dez 2010;42;;52;59;142
Jan 2011;37;;57;71;165
Feb 2011;53;;39;33;89
Mär 2011;48;;65;62;160
Apr 2011;36;;53;43;119
Mai 2011;29;;53;38;111
Jun 2011;22;;50;35;104
Jul 2011;20;;45;40;106
Aug 2011;24;;52;45;121
Sep 2011;28;;58;73;170
Okt 2011;31;;47;59;137
Nov 2011;50;;43;53;124
Dez 2011;19;;46;52;125
Jan 2012;32;;45;53;127
Feb 2012;39;;55;62;149
Mär 2012;36;;57;63;153
Apr 2012;26;;50;39;110
Mai 2012;26;;42;30;89
Jun 2012;24;;49;40;110
Jul 2012;25;;48;39;107
Aug 2012;26;;53;44;119
Sep 2012;24;;57;59;147
Okt 2012;25;;50;64;148
Nov 2012;29;;49;68;152
Dez 2012;33;;47;56;132
Jan 2013;33;;43;47;116
Feb 2013;40;;49;48;123
Mär 2013;38;;49;36;105
Apr 2013;39;;56;45;125
Mai 2013;26;;45;34;97
Jun 2013;25;;45;34;98
Jul 2013;27;;54;40;115
Aug 2013;27;;54;45;123
Sep 2013;22;;46;55;129
Okt 2013;27;;47;57;133
Nov 2013;25;;55;76;171
Dez 2013;27;;49;73;161
Jan 2014;38;;37;34;89
Feb 2014;36;;49;52;129
Mär 2014;43;;54;57;141
Apr 2014;30;;46;39;104
Mai 2014;21;;43;33;94
Jun 2014;;;51;44;118
Jul 2014;28;;50;32;98
Aug 2014;23;;52;46;122
Sep 2014;30;;45;44;113
Okt 2014;33;;44;61;137
Nov 2014;37;;36;54;119
Dez 2014;29;;45;59;136
Jan 2015;28;;45;52;124
Feb 2015;41;;56;68;159
Mär 2015;33;;49;52;128
Apr 2015;26;;59;57;146
Mai 2015;27;;55;45;123
Jun 2015;26;;52;44;119
Jul 2015;27;;46;38;104
Aug 2015;31;;45;26;84
Sep 2015;23;;49;51;127
Okt 2015;38;;44;57;131
Nov 2015;27;;48;78;166
Dez 2015;26;;42;53;122
Jan 2016;40;;45;56;131
Feb 2016;30;;47;53;127
Mär 2016;32;;51;56;137
Apr 2016;24;;53;50;129
Mai 2016;24;;40;30;86
Jun 2016;22;;47;34;99
Jul 2016;20;;49;40;111
Aug 2016;18;;45;48;119
Sep 2016;24;;51;38;108
Okt 2016;24;;35;46;105
Nov 2016;25;;46;70;153
Dez 2016;25;;48;72;158
Jan 2017;34;27;50;65;148
Feb 2017;46;35;45;40;106
Mär 2017;28;17;58;57;146
Apr 2017;24;15;52;45;121
Mai 2017;26;15;44;31;91
Jun 2017;22;12;47;38;105
Jul 2017;22;13;48;44;115
Aug 2017;21;12;45;35;98
Sep 2017;24;15;45;47;117
Okt 2017;23;14;42;52;122
Nov 2017;25;17;45;63;141
Dez 2017;21;14;43;57;130
Jan 2018;23;17;40;44;108
Feb 2018;34;24;47;41;110
Mär 2018;34;24;43;36;98
Apr 2018;30;18;45;32;95
Mai 2018;25;13;29;15;52
Jun 2018;21;12;41;29;85
Jul 2018;20;10;42;25;80
Aug 2018;21;10;45;27;86
Sep 2018;22;11;47;36;102
Okt 2018;26;16;43;46;114
Nov 2018;31;24;33;37;90
Dez 2018;18;14;34;39;94
Jan 2019;22;16;38;39;98
Feb 2019;32;21;51;60;143
Mär 2019;19;12;42;37;99
Apr 2019;28;16;29;13;49
Mai 2019;18;11;39;27;80
Jun 2019;20;11;34;16;58
Jul 2019;19;10;36;27;78
Aug 2019;20;11;44;29;88
Sep 2019;18;10;43;42;107
Okt 2019;20;12;38;49;112
Nov 2019;25;19;33;41;96
Dez 2019;20;14;39;44;106
Jan 2020;23;15;41;46;111
Feb 2020;15;10;36;34;88
Mär 2020;23;15;35;26;74
Apr 2020;24;12;35;21;67
Mai 2020;17;10;38;31;86
Jun 2020;19;11;33;22;67
Jul 2020;17;9;35;32;85
Aug 2020;22;12;33;17;59
Sep 2020;23;12;40;33;90
Okt 2020;19;12;31;34;83
Nov 2020;23;16;31;38;89
Dez 2020;26;21;24;24;61
Jan 2021;21;15;31;31;79
Feb 2021;34;21;40;36;95
Mär 2021;29;17;44;44;111
Apr 2021;21;12;34;24;71
Mai 2021;16;9;30;21;63
Jun 2021;20;13;33;19;63
Jul 2021;18;12;31;23;67
Aug 2021;15;9;30;24;67
Sep 2021;22;13;33;28;76
Okt 2021;23;14;33;31;80
Nov 2021;24;17;31;39;91
Dez 2021;25;19;31;33;82
Jan 2022;21;14;31;30;76
Feb 2022;17;10;27;20;58
Mär 2022;34;21;37;27;79
Apr 2022;20;11;29;17;55
Mai 2022;22;11;31;19;61
Jun 2022;22;11;30;16;54
Jul 2022;20;9;28;17;54
Aug 2022;24;12;28;14;49
Sep 2022;18;10;26;24;62
Okt 2022;23;14;30;31;78
Nov 2022;27;20;26;25;63