,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
151,Jul 2022,12.0,6.0,12.0,2.0,14.0,mc010,67.0
152,Aug 2022,15.0,8.0,14.0,2.0,16.0,mc010,67.0
153,Sep 2022,12.0,7.0,18.0,4.0,24.0,mc010,44.0
154,Okt 2022,18.0,11.0,24.0,9.0,38.0,mc010,23.0
155,Nov 2022,22.0,17.0,23.0,9.0,37.0,mc010,18.0
0,Jan 2010,61.0,,45.0,45.0,115.0,mc124,
1,Feb 2010,47.0,,50.0,40.0,110.0,mc124,
2,Mär 2010,53.0,,57.0,56.0,143.0,mc124,
3,Apr 2010,39.0,,54.0,42.0,117.0,mc124,
4,Mai 2010,32.0,,50.0,45.0,120.0,mc124,
5,Jun 2010,32.0,,54.0,41.0,116.0,mc124,
6,Jul 2010,34.0,,50.0,31.0,98.0,mc124,
7,Aug 2010,29.0,,49.0,46.0,120.0,mc124,
8,Sep 2010,28.0,,49.0,56.0,135.0,mc124,
9,Okt 2010,35.0,,43.0,56.0,128.0,mc124,
10,Nov 2010,30.0,,45.0,58.0,135.0,mc124,
11,Dez 2010,42.0,,52.0,59.0,142.0,mc124,
12,Jan 2011,37.0,,57.0,71.0,165.0,mc124,
13,Feb 2011,53.0,,39.0,33.0,89.0,mc124,
14,Mär 2011,48.0,,65.0,62.0,160.0,mc124,
15,Apr 2011,36.0,,53.0,43.0,119.0,mc124,
16,Mai 2011,29.0,,53.0,38.0,111.0,mc124,
17,Jun 2011,22.0,,50.0,35.0,104.0,mc124,
18,Jul 2011,20.0,,45.0,40.0,106.0,mc124,
19,Aug 2011,24.0,,52.0,45.0,121.0,mc124,
20,Sep 2011,28.0,,58.0,73.0,170.0,mc124,
21,Okt 2011,31.0,,47.0,59.0,137.0,mc124,
22,Nov 2011,50.0,,43.0,53.0,124.0,mc124,
23,Dez 2011,19.0,,46.0,52.0,125.0,mc124,
24,Jan 2012,32.0,,45.0,53.0,127.0,mc124,
25,Feb 2012,39.0,,55.0,62.0,149.0,mc124,
26,Mär 2012,36.0,,57.0,63.0,153.0,mc124,
27,Apr 2012,26.0,,50.0,39.0,110.0,mc124,
28,Mai 2012,26.0,,42.0,30.0,89.0,mc124,
29,Jun 2012,24.0,,49.0,40.0,110.0,mc124,
30,Jul 2012,25.0,,48.0,39.0,107.0,mc124,
31,Aug 2012,26.0,,53.0,44.0,119.0,mc124,
32,Sep 2012,24.0,,57.0,59.0,147.0,mc124,
33,Okt 2012,25.0,,50.0,64.0,148.0,mc124,
34,Nov 2012,29.0,,49.0,68.0,152.0,mc124,
35,Dez 2012,33.0,,47.0,56.0,132.0,mc124,
36,Jan 2013,33.0,,43.0,47.0,116.0,mc124,
37,Feb 2013,40.0,,49.0,48.0,123.0,mc124,
38,Mär 2013,38.0,,49.0,36.0,105.0,mc124,
39,Apr 2013,39.0,,56.0,45.0,125.0,mc124,
40,Mai 2013,26.0,,45.0,34.0,97.0,mc124,
41,Jun 2013,25.0,,45.0,34.0,98.0,mc124,
42,Jul 2013,27.0,,54.0,40.0,115.0,mc124,
43,Aug 2013,27.0,,54.0,45.0,123.0,mc124,
44,Sep 2013,22.0,,46.0,55.0,129.0,mc124,
45,Okt 2013,27.0,,47.0,57.0,133.0,mc124,
46,Nov 2013,25.0,,55.0,76.0,171.0,mc124,
47,Dez 2013,27.0,,49.0,73.0,161.0,mc124,
48,Jan 2014,38.0,,37.0,34.0,89.0,mc124,
49,Feb 2014,36.0,,49.0,52.0,129.0,mc124,
50,Mär 2014,43.0,,54.0,57.0,141.0,mc124,
51,Apr 2014,30.0,,46.0,39.0,104.0,mc124,
52,Mai 2014,21.0,,43.0,33.0,94.0,mc124,
53,Jun 2014,,,51.0,44.0,118.0,mc124,
54,Jul 2014,28.0,,50.0,32.0,98.0,mc124,
55,Aug 2014,23.0,,52.0,46.0,122.0,mc124,
56,Sep 2014,30.0,,45.0,44.0,113.0,mc124,
57,Okt 2014,33.0,,44.0,61.0,137.0,mc124,
58,Nov 2014,37.0,,36.0,54.0,119.0,mc124,
59,Dez 2014,29.0,,45.0,59.0,136.0,mc124,
60,Jan 2015,28.0,,45.0,52.0,124.0,mc124,
61,Feb 2015,41.0,,56.0,68.0,159.0,mc124,
62,Mär 2015,33.0,,49.0,52.0,128.0,mc124,
63,Apr 2015,26.0,,59.0,57.0,146.0,mc124,
64,Mai 2015,27.0,,55.0,45.0,123.0,mc124,
65,Jun 2015,26.0,,52.0,44.0,119.0,mc124,
66,Jul 2015,27.0,,46.0,38.0,104.0,mc124,
67,Aug 2015,31.0,,45.0,26.0,84.0,mc124,
68,Sep 2015,23.0,,49.0,51.0,127.0,mc124,
69,Okt 2015,38.0,,44.0,57.0,131.0,mc124,
70,Nov 2015,27.0,,48.0,78.0,166.0,mc124,
71,Dez 2015,26.0,,42.0,53.0,122.0,mc124,
72,Jan 2016,40.0,,45.0,56.0,131.0,mc124,
73,Feb 2016,30.0,,47.0,53.0,127.0,mc124,
74,Mär 2016,32.0,,51.0,56.0,137.0,mc124,
75,Apr 2016,24.0,,53.0,50.0,129.0,mc124,
76,Mai 2016,24.0,,40.0,30.0,86.0,mc124,
77,Jun 2016,22.0,,47.0,34.0,99.0,mc124,
78,Jul 2016,20.0,,49.0,40.0,111.0,mc124,
79,Aug 2016,18.0,,45.0,48.0,119.0,mc124,
80,Sep 2016,24.0,,51.0,38.0,108.0,mc124,
81,Okt 2016,24.0,,35.0,46.0,105.0,mc124,
82,Nov 2016,25.0,,46.0,70.0,153.0,mc124,
83,Dez 2016,25.0,,48.0,72.0,158.0,mc124,
84,Jan 2017,34.0,27.0,50.0,65.0,148.0,mc124,
85,Feb 2017,46.0,35.0,45.0,40.0,106.0,mc124,
86,Mär 2017,28.0,17.0,58.0,57.0,146.0,mc124,
87,Apr 2017,24.0,15.0,52.0,45.0,121.0,mc124,
88,Mai 2017,26.0,15.0,44.0,31.0,91.0,mc124,
89,Jun 2017,22.0,12.0,47.0,38.0,105.0,mc124,
90,Jul 2017,22.0,13.0,48.0,44.0,115.0,mc124,
91,Aug 2017,21.0,12.0,45.0,35.0,98.0,mc124,
92,Sep 2017,24.0,15.0,45.0,47.0,117.0,mc124,
93,Okt 2017,23.0,14.0,42.0,52.0,122.0,mc124,
94,Nov 2017,25.0,17.0,45.0,63.0,141.0,mc124,
95,Dez 2017,21.0,14.0,43.0,57.0,130.0,mc124,
96,Jan 2018,23.0,17.0,40.0,44.0,108.0,mc124,
97,Feb 2018,34.0,24.0,47.0,41.0,110.0,mc124,
98,Mär 2018,34.0,24.0,43.0,36.0,98.0,mc124,
99,Apr 2018,30.0,18.0,45.0,32.0,95.0,mc124,
100,Mai 2018,25.0,13.0,29.0,15.0,52.0,mc124,
101,Jun 2018,21.0,12.0,41.0,29.0,85.0,mc124,
102,Jul 2018,20.0,10.0,42.0,25.0,80.0,mc124,
103,Aug 2018,21.0,10.0,45.0,27.0,86.0,mc124,
104,Sep 2018,22.0,11.0,47.0,36.0,102.0,mc124,
105,Okt 2018,26.0,16.0,43.0,46.0,114.0,mc124,
106,Nov 2018,31.0,24.0,33.0,37.0,90.0,mc124,
107,Dez 2018,18.0,14.0,34.0,39.0,94.0,mc124,
108,Jan 2019,22.0,16.0,38.0,39.0,98.0,mc124,
109,Feb 2019,32.0,21.0,51.0,60.0,143.0,mc124,
110,Mär 2019,19.0,12.0,42.0,37.0,99.0,mc124,
111,Apr 2019,28.0,16.0,29.0,13.0,49.0,mc124,
112,Mai 2019,18.0,11.0,39.0,27.0,80.0,mc124,
113,Jun 2019,20.0,11.0,34.0,16.0,58.0,mc124,
114,Jul 2019,19.0,10.0,36.0,27.0,78.0,mc124,
115,Aug 2019,20.0,11.0,44.0,29.0,88.0,mc124,
116,Sep 2019,18.0,10.0,43.0,42.0,107.0,mc124,
117,Okt 2019,20.0,12.0,38.0,49.0,112.0,mc124,
118,Nov 2019,25.0,19.0,33.0,41.0,96.0,mc124,
119,Dez 2019,20.0,14.0,39.0,44.0,106.0,mc124,
120,Jan 2020,23.0,15.0,41.0,46.0,111.0,mc124,
121,Feb 2020,15.0,10.0,36.0,34.0,88.0,mc124,
122,Mär 2020,23.0,15.0,35.0,26.0,74.0,mc124,
123,Apr 2020,24.0,12.0,35.0,21.0,67.0,mc124,
124,Mai 2020,17.0,10.0,38.0,31.0,86.0,mc124,
125,Jun 2020,19.0,11.0,33.0,22.0,67.0,mc124,
126,Jul 2020,17.0,9.0,35.0,32.0,85.0,mc124,
127,Aug 2020,22.0,12.0,33.0,17.0,59.0,mc124,
128,Sep 2020,23.0,12.0,40.0,33.0,90.0,mc124,
129,Okt 2020,19.0,12.0,31.0,34.0,83.0,mc124,
130,Nov 2020,23.0,16.0,31.0,38.0,89.0,mc124,
131,Dez 2020,26.0,21.0,24.0,24.0,61.0,mc124,
132,Jan 2021,21.0,15.0,31.0,31.0,79.0,mc124,
133,Feb 2021,34.0,21.0,40.0,36.0,95.0,mc124,
134,Mär 2021,29.0,17.0,44.0,44.0,111.0,mc124,
135,Apr 2021,21.0,12.0,34.0,24.0,71.0,mc124,
136,Mai 2021,16.0,9.0,30.0,21.0,63.0,mc124,
137,Jun 2021,20.0,13.0,33.0,19.0,63.0,mc124,
138,Jul 2021,18.0,12.0,31.0,23.0,67.0,mc124,
139,Aug 2021,15.0,9.0,30.0,24.0,67.0,mc124,
140,Sep 2021,22.0,13.0,33.0,28.0,76.0,mc124,
141,Okt 2021,23.0,14.0,33.0,31.0,80.0,mc124,
142,Nov 2021,24.0,17.0,31.0,39.0,91.0,mc124,
143,Dez 2021,25.0,19.0,31.0,33.0,82.0,mc124,
144,Jan 2022,21.0,14.0,31.0,30.0,76.0,mc124,
145,Feb 2022,17.0,10.0,27.0,20.0,58.0,mc124,
146,Mär 2022,34.0,21.0,37.0,27.0,79.0,mc124,
147,Apr 2022,20.0,11.0,29.0,17.0,55.0,mc124,
148,Mai 2022,22.0,11.0,31.0,19.0,61.0,mc124,
149,Jun 2022,22.0,11.0,30.0,16.0,54.0,mc124,
150,Jul 2022,20.0,9.0,28.0,17.0,54.0,mc124,
151,Aug 2022,24.0,12.0,28.0,14.0,49.0,mc124,
152,Sep 2022,18.0,10.0,26.0,24.0,62.0,mc124,
153,Okt 2022,23.0,14.0,30.0,31.0,78.0,mc124,
154,Nov 2022,27.0,20.0,26.0,25.0,63.0,mc124,
0,Jan 2010,46.0,,26.0,5.0,33.0,mc032,32.0
1,Feb 2010,32.0,,23.0,3.0,27.0,mc032,
2,Mär 2010,20.0,,15.0,2.0,19.0,mc032,56.0
3,Apr 2010,20.0,,11.0,1.0,12.0,mc032,71.0
4,Mai 2010,16.0,,8.0,1.0,10.0,mc032,50.0
5,Jun 2010,15.0,,7.0,1.0,8.0,mc032,62.0
6,Jul 2010,19.0,,12.0,1.0,13.0,mc032,76.0
7,Aug 2010,15.0,,11.0,2.0,13.0,mc032,41.0
8,Sep 2010,16.0,,10.0,2.0,13.0,mc032,32.0
9,Okt 2010,22.0,,16.0,4.0,23.0,mc032,25.0
10,Nov 2010,16.0,,16.0,5.0,24.0,mc032,27.0
11,Dez 2010,28.0,,28.0,9.0,41.0,mc032,29.0
12,Jan 2011,17.0,,18.0,4.0,24.0,mc032,34.0
13,Feb 2011,38.0,,19.0,2.0,22.0,mc032,48.0
14,Mär 2011,27.0,,18.0,3.0,22.0,mc032,51.0
15,Apr 2011,20.0,,10.0,1.0,12.0,mc032,68.0
16,Mai 2011,16.0,,10.0,1.0,11.0,mc032,66.0
17,Jun 2011,12.0,,10.0,1.0,11.0,mc032,60.0
18,Jul 2011,11.0,,8.0,1.0,8.0,mc032,49.0
19,Aug 2011,16.0,,9.0,1.0,10.0,mc032,42.0
20,Sep 2011,17.0,,10.0,2.0,14.0,mc032,33.0
21,Okt 2011,22.0,,13.0,5.0,21.0,mc032,27.0
22,Nov 2011,43.0,,24.0,12.0,43.0,mc032,14.0
23,Dez 2011,10.0,,12.0,1.0,13.0,mc032,38.0
24,Jan 2012,21.0,,14.0,2.0,17.0,mc032,38.0
25,Feb 2012,23.0,,18.0,2.0,20.0,mc032,40.0
26,Mär 2012,22.0,,13.0,2.0,16.0,mc032,54.0
27,Apr 2012,16.0,,13.0,1.0,14.0,mc032,63.0
28,Mai 2012,19.0,,10.0,1.0,10.0,mc032,65.0
29,Jun 2012,14.0,,9.0,1.0,10.0,mc032,52.0
30,Jul 2012,15.0,,8.0,1.0,9.0,mc032,46.0
31,Aug 2012,16.0,,11.0,1.0,12.0,mc032,41.0
32,Sep 2012,13.0,,11.0,1.0,12.0,mc032,38.0
33,Okt 2012,17.0,,15.0,3.0,21.0,mc032,25.0
34,Nov 2012,20.0,,19.0,8.0,31.0,mc032,17.0
35,Dez 2012,22.0,,24.0,8.0,36.0,mc032,23.0
36,Jan 2013,23.0,,17.0,2.0,20.0,mc032,37.0
37,Feb 2013,26.0,,15.0,1.0,16.0,mc032,43.0
38,Mär 2013,26.0,,16.0,2.0,19.0,mc032,70.0
39,Apr 2013,23.0,,14.0,1.0,16.0,mc032,67.0
40,Mai 2013,17.0,,10.0,1.0,12.0,mc032,53.0
41,Jun 2013,15.0,,9.0,0.0,10.0,mc032,55.0
42,Jul 2013,16.0,,8.0,0.0,8.0,mc032,58.0
43,Aug 2013,16.0,,13.0,1.0,15.0,mc032,47.0
44,Sep 2013,13.0,,10.0,1.0,12.0,mc032,31.0
45,Okt 2013,19.0,,15.0,4.0,20.0,mc032,24.0
46,Nov 2013,13.0,,16.0,4.0,21.0,mc032,26.0
47,Dez 2013,13.0,,18.0,6.0,27.0,mc032,27.0
48,Jan 2014,29.0,,24.0,4.0,30.0,mc032,24.0
49,Feb 2014,20.0,,22.0,4.0,28.0,mc032,33.0
50,Mär 2014,29.0,,19.0,3.0,23.0,mc032,44.0
51,Apr 2014,21.0,,13.0,1.0,15.0,mc032,60.0
52,Mai 2014,13.0,,8.0,1.0,9.0,mc032,58.0
53,Jun 2014,13.0,,8.0,1.0,8.0,mc032,55.0
54,Jul 2014,19.0,,10.0,1.0,11.0,mc032,59.0
55,Aug 2014,13.0,,8.0,1.0,9.0,mc032,49.0
56,Sep 2014,23.0,,12.0,1.0,14.0,mc032,42.0
57,Okt 2014,23.0,,15.0,4.0,21.0,mc032,20.0
58,Nov 2014,30.0,,18.0,6.0,27.0,mc032,14.0
59,Dez 2014,19.0,,15.0,3.0,19.0,mc032,33.0
60,Jan 2015,15.0,,13.0,2.0,15.0,mc032,40.0
61,Feb 2015,24.0,,18.0,3.0,23.0,mc032,37.0
62,Mär 2015,23.0,,14.0,2.0,17.0,mc032,51.0
63,Apr 2015,14.0,,8.0,1.0,10.0,mc032,66.0
64,Mai 2015,13.0,,8.0,1.0,10.0,mc032,65.0
65,Jun 2015,14.0,,9.0,1.0,9.0,mc032,64.0
66,Jul 2015,15.0,,9.0,1.0,10.0,mc032,62.0
67,Aug 2015,19.0,,16.0,1.0,18.0,mc032,71.0
68,Sep 2015,12.0,,13.0,1.0,15.0,mc032,37.0
69,Okt 2015,29.0,,20.0,5.0,27.0,mc032,21.0
70,Nov 2015,16.0,,15.0,10.0,30.0,mc032,28.0
71,Dez 2015,12.0,,15.0,3.0,20.0,mc032,32.0
72,Jan 2016,26.0,,22.0,6.0,32.0,mc032,25.0
73,Feb 2016,15.0,,14.0,2.0,17.0,mc032,44.0
74,Mär 2016,19.0,,14.0,2.0,17.0,mc032,47.0
75,Apr 2016,14.0,,12.0,2.0,14.0,mc032,60.0
76,Mai 2016,15.0,,10.0,0.0,10.0,mc032,72.0
77,Jun 2016,14.0,,10.0,1.0,11.0,mc032,59.0
78,Jul 2016,12.0,,10.0,1.0,10.0,mc032,55.0
79,Aug 2016,13.0,,10.0,1.0,11.0,mc032,47.0
80,Sep 2016,21.0,,17.0,2.0,20.0,mc032,55.0
81,Okt 2016,21.0,,13.0,3.0,17.0,mc032,19.0
82,Nov 2016,19.0,,20.0,8.0,32.0,mc032,19.0
83,Dez 2016,17.0,,19.0,6.0,28.0,mc032,26.0
84,Jan 2017,22.0,20.0,22.0,3.0,26.0,mc032,31.0
85,Feb 2017,31.0,28.0,22.0,4.0,27.0,mc032,39.0
86,Mär 2017,15.0,11.0,14.0,1.0,16.0,mc032,53.0
87,Apr 2017,14.0,10.0,8.0,1.0,9.0,mc032,65.0
88,Mai 2017,17.0,11.0,10.0,0.0,10.0,mc032,66.0
89,Jun 2017,13.0,8.0,8.0,0.0,9.0,mc032,56.0
90,Jul 2017,15.0,9.0,7.0,0.0,7.0,mc032,47.0
91,Aug 2017,13.0,8.0,8.0,1.0,10.0,mc032,46.0
92,Sep 2017,15.0,10.0,10.0,1.0,12.0,mc032,32.0
93,Okt 2017,16.0,10.0,10.0,3.0,13.0,mc032,33.0
94,Nov 2017,15.0,12.0,14.0,2.0,18.0,mc032,28.0
95,Dez 2017,12.0,9.0,12.0,2.0,15.0,mc032,35.0
96,Jan 2018,15.0,12.0,14.0,3.0,19.0,mc032,37.0
97,Feb 2018,21.0,18.0,21.0,3.0,25.0,mc032,39.0
98,Mär 2018,23.0,19.0,18.0,2.0,20.0,mc032,48.0
99,Apr 2018,20.0,13.0,12.0,1.0,13.0,mc032,67.0
100,Mai 2018,20.0,10.0,10.0,0.0,11.0,mc032,76.0
101,Jun 2018,14.0,9.0,8.0,0.0,9.0,mc032,69.0
102,Jul 2018,11.0,7.0,11.0,1.0,12.0,mc032,69.0
103,Aug 2018,13.0,7.0,12.0,1.0,12.0,mc032,72.0
104,Sep 2018,15.0,8.0,13.0,1.0,15.0,mc032,55.0
105,Okt 2018,18.0,12.0,19.0,5.0,26.0,mc032,36.0
106,Nov 2018,24.0,21.0,21.0,10.0,36.0,mc032,15.0
107,Dez 2018,13.0,11.0,14.0,3.0,18.0,mc032,30.0
108,Jan 2019,15.0,13.0,13.0,1.0,15.0,mc032,42.0
109,Feb 2019,19.0,17.0,18.0,3.0,23.0,mc032,38.0
110,Mär 2019,12.0,10.0,8.0,1.0,9.0,mc032,60.0
111,Apr 2019,22.0,15.0,13.0,1.0,13.0,mc032,78.0
112,Mai 2019,12.0,8.0,9.0,1.0,10.0,mc032,65.0
113,Jun 2019,17.0,10.0,11.0,0.0,12.0,mc032,80.0
114,Jul 2019,14.0,8.0,9.0,1.0,11.0,mc032,61.0
115,Aug 2019,15.0,9.0,13.0,1.0,15.0,mc032,62.0
116,Sep 2019,12.0,7.0,12.0,2.0,14.0,mc032,46.0
117,Okt 2019,16.0,10.0,14.0,4.0,20.0,mc032,25.0
118,Nov 2019,21.0,16.0,17.0,4.0,23.0,mc032,15.0
119,Dez 2019,13.0,11.0,15.0,4.0,21.0,mc032,30.0
120,Jan 2020,14.0,11.0,13.0,2.0,16.0,mc032,36.0
121,Feb 2020,10.0,7.0,7.0,1.0,8.0,mc032,53.0
122,Mär 2020,16.0,12.0,11.0,1.0,12.0,mc032,58.0
123,Apr 2020,17.0,9.0,8.0,0.0,8.0,mc032,77.0
124,Mai 2020,11.0,6.0,7.0,0.0,8.0,mc032,61.0
125,Jun 2020,14.0,9.0,9.0,0.0,9.0,mc032,60.0
126,Jul 2020,11.0,6.0,7.0,1.0,8.0,mc032,50.0
127,Aug 2020,15.0,8.0,12.0,1.0,14.0,mc032,62.0
128,Sep 2020,15.0,8.0,12.0,2.0,15.0,mc032,42.0
129,Okt 2020,14.0,9.0,11.0,1.0,13.0,mc032,26.0
130,Nov 2020,13.0,11.0,12.0,3.0,16.0,mc032,24.0
131,Dez 2020,18.0,16.0,15.0,3.0,20.0,mc032,17.0
132,Jan 2021,12.0,10.0,10.0,1.0,11.0,mc032,32.0
133,Feb 2021,19.0,15.0,15.0,3.0,20.0,mc032,39.0
134,Mär 2021,16.0,12.0,10.0,2.0,12.0,mc032,52.0
135,Apr 2021,13.0,9.0,6.0,0.0,7.0,mc032,69.0
136,Mai 2021,11.0,6.0,5.0,0.0,5.0,mc032,62.0
137,Jun 2021,17.0,10.0,8.0,0.0,8.0,mc032,71.0
138,Jul 2021,16.0,9.0,8.0,1.0,9.0,mc032,51.0
139,Aug 2021,,,6.0,0.0,6.0,mc032,48.0
140,Sep 2021,17.0,11.0,7.0,1.0,8.0,mc032,38.0
141,Okt 2021,16.0,11.0,10.0,1.0,12.0,mc032,31.0
142,Nov 2021,16.0,13.0,11.0,2.0,15.0,mc032,28.0
143,Dez 2021,17.0,15.0,14.0,2.0,16.0,mc032,28.0
144,Jan 2022,13.0,11.0,8.0,2.0,8.0,mc032,45.0
145,Feb 2022,9.0,7.0,7.0,2.0,7.0,mc032,58.0
146,Mär 2022,,,14.0,2.0,15.0,mc032,58.0
147,Apr 2022,12.0,8.0,7.0,2.0,8.0,mc032,68.0
148,Mai 2022,14.0,7.0,7.0,2.0,7.0,mc032,65.0
149,Jun 2022,12.0,7.0,8.0,2.0,9.0,mc032,69.0
