,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
150,Jul 2022,10.0,6.0,9.0,2.0,10.0,mc032,63.0
151,Aug 2022,,,,,,mc032,
152,Sep 2022,10.0,6.0,12.0,2.0,14.0,mc032,37.0
153,Okt 2022,16.0,10.0,11.0,5.0,18.0,mc032,21.0
154,Nov 2022,18.0,15.0,14.0,5.0,21.0,mc032,17.0
0,Dez 2010,27.0,,23.0,4.0,28.0,mc085,31.0
1,Jan 2011,18.0,,18.0,2.0,21.0,mc085,35.0
2,Feb 2011,40.0,,16.0,2.0,18.0,mc085,52.0
3,Mär 2011,31.0,,20.0,3.0,24.0,mc085,53.0
4,Apr 2011,23.0,,12.0,1.0,14.0,mc085,73.0
5,Mai 2011,17.0,,9.0,1.0,11.0,mc085,81.0
6,Jun 2011,13.0,,8.0,1.0,9.0,mc085,73.0
7,Jul 2011,11.0,,8.0,1.0,9.0,mc085,60.0
8,Aug 2011,15.0,,9.0,1.0,10.0,mc085,58.0
9,Sep 2011,16.0,,13.0,3.0,18.0,mc085,43.0
10,Okt 2011,20.0,,15.0,3.0,19.0,mc085,33.0
11,Nov 2011,42.0,,19.0,5.0,27.0,mc085,21.0
12,Dez 2011,10.0,,14.0,1.0,15.0,mc085,39.0
13,Jan 2012,20.0,,17.0,2.0,20.0,mc085,38.0
14,Feb 2012,25.0,,21.0,4.0,27.0,mc085,39.0
15,Mär 2012,23.0,,17.0,2.0,19.0,mc085,53.0
16,Apr 2012,17.0,,10.0,1.0,12.0,mc085,72.0
17,Mai 2012,17.0,,8.0,1.0,9.0,mc085,79.0
18,Jun 2012,14.0,,8.0,1.0,9.0,mc085,70.0
19,Jul 2012,16.0,,8.0,1.0,9.0,mc085,64.0
20,Aug 2012,17.0,,10.0,1.0,12.0,mc085,61.0
21,Sep 2012,14.0,,13.0,1.0,15.0,mc085,49.0
22,Okt 2012,16.0,,14.0,3.0,19.0,mc085,35.0
23,Nov 2012,19.0,,18.0,4.0,23.0,mc085,26.0
24,Dez 2012,23.0,,21.0,3.0,25.0,mc085,41.0
25,Jan 2013,23.0,,14.0,1.0,16.0,mc085,43.0
26,Feb 2013,27.0,,14.0,1.0,16.0,mc085,47.0
27,Mär 2013,24.0,,15.0,1.0,17.0,mc085,74.0
28,Apr 2013,22.0,,12.0,1.0,14.0,mc085,74.0
29,Mai 2013,17.0,,9.0,1.0,10.0,mc085,69.0
30,Jun 2013,16.0,,6.0,1.0,7.0,mc085,72.0
31,Jul 2013,18.0,,9.0,1.0,9.0,mc085,70.0
32,Aug 2013,19.0,,11.0,1.0,13.0,mc085,64.0
33,Sep 2013,13.0,,12.0,2.0,16.0,mc085,43.0
34,Okt 2013,19.0,,13.0,2.0,16.0,mc085,34.0
35,Nov 2013,15.0,,19.0,3.0,22.0,mc085,28.0
36,Dez 2013,14.0,,17.0,4.0,24.0,mc085,30.0
37,Jan 2014,31.0,,15.0,1.0,17.0,mc085,32.0
38,Feb 2014,20.0,,15.0,1.0,17.0,mc085,43.0
39,Mär 2014,31.0,,17.0,2.0,20.0,mc085,48.0
40,Apr 2014,22.0,,9.0,1.0,11.0,mc085,66.0
41,Mai 2014,14.0,,6.0,1.0,7.0,mc085,69.0
42,Jun 2014,15.0,,7.0,1.0,8.0,mc085,66.0
43,Jul 2014,22.0,,8.0,1.0,9.0,mc085,74.0
44,Aug 2014,15.0,,11.0,1.0,12.0,mc085,64.0
45,Sep 2014,24.0,,12.0,1.0,14.0,mc085,53.0
46,Okt 2014,24.0,,15.0,3.0,20.0,mc085,30.0
47,Nov 2014,31.0,,16.0,4.0,22.0,mc085,20.0
48,Dez 2014,20.0,,16.0,3.0,20.0,mc085,35.0
49,Jan 2015,17.0,,13.0,1.0,14.0,mc085,44.0
50,Feb 2015,25.0,,17.0,2.0,20.0,mc085,42.0
51,Mär 2015,23.0,,14.0,1.0,16.0,mc085,55.0
52,Apr 2015,17.0,,12.0,1.0,14.0,mc085,68.0
53,Mai 2015,15.0,,10.0,1.0,11.0,mc085,74.0
54,Jun 2015,16.0,,8.0,1.0,10.0,mc085,76.0
55,Jul 2015,16.0,,8.0,1.0,9.0,mc085,77.0
56,Aug 2015,23.0,,10.0,1.0,11.0,mc085,90.0
57,Sep 2015,13.0,,12.0,2.0,14.0,mc085,53.0
58,Okt 2015,34.0,,18.0,4.0,24.0,mc085,30.0
59,Nov 2015,18.0,,17.0,6.0,26.0,mc085,33.0
60,Dez 2015,16.0,,16.0,2.0,18.0,mc085,34.0
61,Jan 2016,28.0,,20.0,3.0,24.0,mc085,30.0
62,Feb 2016,17.0,,14.0,1.0,15.0,mc085,48.0
63,Mär 2016,23.0,,15.0,2.0,18.0,mc085,49.0
64,Apr 2016,17.0,,12.0,1.0,14.0,mc085,65.0
65,Mai 2016,20.0,,8.0,1.0,9.0,mc085,83.0
66,Jun 2016,17.0,,8.0,1.0,9.0,mc085,71.0
67,Jul 2016,14.0,,9.0,1.0,10.0,mc085,65.0
68,Aug 2016,13.0,,10.0,1.0,12.0,mc085,56.0
69,Sep 2016,16.0,,12.0,1.0,14.0,mc085,66.0
70,Okt 2016,15.0,,12.0,2.0,15.0,mc085,24.0
71,Nov 2016,19.0,,19.0,4.0,25.0,mc085,24.0
72,Dez 2016,17.0,,23.0,5.0,31.0,mc085,25.0
73,Jan 2017,22.0,20.0,21.0,3.0,25.0,mc085,34.0
74,Feb 2017,30.0,28.0,17.0,1.0,19.0,mc085,45.0
75,Mär 2017,16.0,13.0,14.0,2.0,17.0,mc085,55.0
76,Apr 2017,14.0,11.0,12.0,1.0,14.0,mc085,65.0
77,Mai 2017,16.0,11.0,8.0,1.0,10.0,mc085,72.0
78,Jun 2017,12.0,8.0,8.0,1.0,9.0,mc085,67.0
79,Jul 2017,12.0,9.0,8.0,1.0,9.0,mc085,58.0
80,Aug 2017,13.0,8.0,9.0,1.0,10.0,mc085,62.0
81,Sep 2017,15.0,11.0,11.0,2.0,14.0,mc085,43.0
82,Okt 2017,14.0,10.0,13.0,2.0,16.0,mc085,37.0
83,Nov 2017,16.0,13.0,16.0,2.0,19.0,mc085,31.0
84,Dez 2017,14.0,12.0,16.0,3.0,20.0,mc085,34.0
85,Jan 2018,17.0,14.0,13.0,1.0,15.0,mc085,39.0
86,Feb 2018,25.0,21.0,15.0,2.0,17.0,mc085,46.0
87,Mär 2018,27.0,23.0,15.0,1.0,17.0,mc085,54.0
88,Apr 2018,19.0,15.0,10.0,1.0,12.0,mc085,72.0
89,Mai 2018,20.0,12.0,7.0,1.0,8.0,mc085,85.0
90,Jun 2018,17.0,11.0,8.0,1.0,8.0,mc085,76.0
91,Jul 2018,16.0,9.0,8.0,1.0,9.0,mc085,78.0
92,Aug 2018,16.0,9.0,9.0,1.0,10.0,mc085,82.0
93,Sep 2018,16.0,9.0,11.0,1.0,12.0,mc085,63.0
94,Okt 2018,21.0,14.0,15.0,3.0,19.0,mc085,47.0
95,Nov 2018,27.0,23.0,15.0,4.0,21.0,mc085,23.0
96,Dez 2018,14.0,12.0,14.0,1.0,15.0,mc085,31.0
97,Jan 2019,17.0,14.0,13.0,1.0,14.0,mc085,43.0
98,Feb 2019,23.0,19.0,22.0,3.0,26.0,mc085,37.0
99,Mär 2019,13.0,10.0,10.0,1.0,12.0,mc085,60.0
100,Apr 2019,22.0,15.0,7.0,1.0,8.0,mc085,82.0
101,Mai 2019,13.0,9.0,7.0,1.0,8.0,mc085,69.0
102,Jun 2019,16.0,10.0,6.0,0.0,7.0,mc085,92.0
103,Jul 2019,15.0,8.0,7.0,1.0,8.0,mc085,66.0
104,Aug 2019,15.0,9.0,8.0,1.0,10.0,mc085,75.0
105,Sep 2019,13.0,8.0,11.0,1.0,12.0,mc085,54.0
106,Okt 2019,15.0,10.0,12.0,3.0,16.0,mc085,36.0
107,Nov 2019,20.0,16.0,14.0,1.0,16.0,mc085,21.0
108,Dez 2019,14.0,11.0,15.0,1.0,17.0,mc085,32.0
109,Jan 2020,14.0,12.0,15.0,1.0,16.0,mc085,38.0
110,Feb 2020,9.0,7.0,10.0,1.0,11.0,mc085,57.0
111,Mär 2020,17.0,13.0,10.0,1.0,11.0,mc085,62.0
112,Apr 2020,17.0,10.0,8.0,1.0,9.0,mc085,78.0
113,Mai 2020,11.0,7.0,7.0,1.0,8.0,mc085,70.0
114,Jun 2020,14.0,9.0,5.0,1.0,6.0,mc085,73.0
115,Jul 2020,12.0,7.0,6.0,1.0,7.0,mc085,58.0
116,Aug 2020,15.0,10.0,7.0,1.0,8.0,mc085,73.0
117,Sep 2020,14.0,9.0,10.0,2.0,13.0,mc085,52.0
118,Okt 2020,12.0,9.0,9.0,1.0,10.0,mc085,36.0
119,Nov 2020,17.0,14.0,13.0,1.0,15.0,mc085,28.0
120,Dez 2020,21.0,18.0,12.0,1.0,14.0,mc085,24.0
121,Jan 2021,13.0,11.0,11.0,1.0,13.0,mc085,35.0
122,Feb 2021,22.0,17.0,15.0,2.0,18.0,mc085,44.0
123,Mär 2021,17.0,13.0,13.0,2.0,16.0,mc085,55.0
124,Apr 2021,14.0,10.0,8.0,1.0,10.0,mc085,70.0
125,Mai 2021,10.0,7.0,6.0,1.0,7.0,mc085,70.0
126,Jun 2021,17.0,11.0,6.0,1.0,7.0,mc085,80.0
127,Jul 2021,17.0,10.0,6.0,1.0,7.0,mc085,59.0
128,Aug 2021,11.0,7.0,6.0,1.0,7.0,mc085,57.0
129,Sep 2021,15.0,11.0,8.0,1.0,9.0,mc085,48.0
130,Okt 2021,14.0,11.0,10.0,1.0,11.0,mc085,44.0
131,Nov 2021,15.0,13.0,12.0,1.0,14.0,mc085,31.0
132,Dez 2021,18.0,15.0,15.0,1.0,17.0,mc085,29.0
133,Jan 2022,14.0,11.0,12.0,2.0,13.0,mc085,45.0
134,Feb 2022,10.0,7.0,7.0,2.0,8.0,mc085,61.0
135,Mär 2022,23.0,18.0,10.0,2.0,13.0,mc085,63.0
136,Apr 2022,13.0,9.0,6.0,2.0,6.0,mc085,71.0
137,Mai 2022,14.0,8.0,5.0,2.0,6.0,mc085,76.0
138,Jun 2022,13.0,8.0,5.0,2.0,6.0,mc085,80.0
139,Jul 2022,12.0,6.0,5.0,2.0,6.0,mc085,73.0
140,Aug 2022,15.0,9.0,6.0,2.0,7.0,mc085,71.0
141,Sep 2022,11.0,7.0,8.0,2.0,9.0,mc085,49.0
142,Okt 2022,15.0,10.0,10.0,2.0,13.0,mc085,31.0
143,Nov 2022,19.0,16.0,12.0,2.0,15.0,mc085,25.0
0,Jan 2010,46.0,,21.0,4.0,26.0,mc077,
1,Feb 2010,32.0,,20.0,2.0,23.0,mc077,52.0
2,Mär 2010,21.0,,15.0,2.0,17.0,mc077,58.0
3,Apr 2010,21.0,,12.0,2.0,14.0,mc077,70.0
4,Mai 2010,16.0,,7.0,1.0,9.0,mc077,58.0
5,Jun 2010,16.0,,7.0,1.0,8.0,mc077,70.0
6,Jul 2010,20.0,,9.0,1.0,11.0,mc077,83.0
7,Aug 2010,16.0,,11.0,1.0,13.0,mc077,53.0
8,Sep 2010,15.0,,11.0,2.0,13.0,mc077,39.0
9,Okt 2010,23.0,,18.0,4.0,24.0,mc077,30.0
10,Nov 2010,16.0,,15.0,4.0,20.0,mc077,30.0
11,Dez 2010,26.0,,25.0,6.0,34.0,mc077,31.0
12,Jan 2011,17.0,,22.0,4.0,28.0,mc077,
13,Feb 2011,37.0,,16.0,2.0,19.0,mc077,52.0
14,Mär 2011,29.0,,18.0,3.0,22.0,mc077,54.0
15,Apr 2011,21.0,,10.0,1.0,12.0,mc077,72.0
16,Mai 2011,18.0,,11.0,1.0,13.0,mc077,76.0
17,Jun 2011,14.0,,8.0,1.0,9.0,mc077,69.0
18,Jul 2011,11.0,,7.0,1.0,9.0,mc077,57.0
19,Aug 2011,15.0,,10.0,1.0,12.0,mc077,51.0
20,Sep 2011,18.0,,15.0,5.0,22.0,mc077,39.0
21,Okt 2011,22.0,,16.0,6.0,25.0,mc077,30.0
22,Nov 2011,44.0,,23.0,11.0,39.0,mc077,17.0
23,Dez 2011,12.0,,17.0,2.0,20.0,mc077,35.0
24,Jan 2012,22.0,,15.0,2.0,18.0,mc077,38.0
25,Feb 2012,23.0,,17.0,3.0,21.0,mc077,43.0
26,Mär 2012,22.0,,14.0,3.0,19.0,mc077,52.0
27,Apr 2012,18.0,,13.0,1.0,15.0,mc077,67.0
28,Mai 2012,18.0,,9.0,1.0,10.0,mc077,73.0
29,Jun 2012,16.0,,8.0,1.0,10.0,mc077,64.0
30,Jul 2012,17.0,,8.0,1.0,10.0,mc077,58.0
31,Aug 2012,17.0,,10.0,1.0,11.0,mc077,52.0
32,Sep 2012,15.0,,14.0,2.0,17.0,mc077,41.0
33,Okt 2012,17.0,,17.0,6.0,26.0,mc077,29.0
34,Nov 2012,21.0,,23.0,8.0,35.0,mc077,19.0
35,Dez 2012,25.0,,25.0,6.0,35.0,mc077,22.0
36,Jan 2013,24.0,,15.0,2.0,18.0,mc077,41.0
37,Feb 2013,28.0,,13.0,1.0,14.0,mc077,47.0
38,Mär 2013,25.0,,12.0,2.0,15.0,mc077,75.0
39,Apr 2013,24.0,,14.0,2.0,16.0,mc077,72.0
40,Mai 2013,19.0,,9.0,1.0,10.0,mc077,65.0
41,Jun 2013,16.0,,7.0,1.0,8.0,mc077,66.0
42,Jul 2013,17.0,,8.0,1.0,9.0,mc077,64.0
43,Aug 2013,19.0,,10.0,1.0,12.0,mc077,58.0
44,Sep 2013,13.0,,11.0,2.0,14.0,mc077,36.0
45,Okt 2013,21.0,,18.0,4.0,24.0,mc077,30.0
46,Nov 2013,17.0,,19.0,5.0,26.0,mc077,28.0
47,Dez 2013,16.0,,23.0,8.0,35.0,mc077,26.0
48,Jan 2014,33.0,,19.0,3.0,24.0,mc077,29.0
49,Feb 2014,26.0,,24.0,5.0,31.0,mc077,35.0
50,Mär 2014,35.0,,16.0,4.0,22.0,mc077,47.0
51,Apr 2014,24.0,,10.0,2.0,12.0,mc077,64.0
52,Mai 2014,16.0,,7.0,1.0,9.0,mc077,65.0
53,Jun 2014,16.0,,8.0,1.0,9.0,mc077,62.0
54,Jul 2014,22.0,,8.0,1.0,10.0,mc077,71.0
55,Aug 2014,16.0,,10.0,3.0,14.0,mc077,56.0
56,Sep 2014,25.0,,11.0,2.0,14.0,mc077,48.0
57,Okt 2014,27.0,,18.0,8.0,30.0,mc077,25.0
58,Nov 2014,33.0,,17.0,7.0,27.0,mc077,17.0
59,Dez 2014,21.0,,19.0,4.0,25.0,mc077,32.0
60,Jan 2015,16.0,,16.0,2.0,18.0,mc077,41.0
61,Feb 2015,27.0,,20.0,4.0,26.0,mc077,39.0
62,Mär 2015,26.0,,16.0,3.0,20.0,mc077,51.0
63,Apr 2015,19.0,,12.0,2.0,14.0,mc077,64.0
64,Mai 2015,17.0,,10.0,1.0,12.0,mc077,67.0
65,Jun 2015,15.0,,8.0,1.0,10.0,mc077,70.0
66,Jul 2015,18.0,,8.0,1.0,10.0,mc077,72.0
67,Aug 2015,24.0,,10.0,1.0,12.0,mc077,79.0
68,Sep 2015,15.0,,13.0,2.0,16.0,mc077,44.0
69,Okt 2015,30.0,,16.0,6.0,26.0,mc077,27.0
70,Nov 2015,19.0,,20.0,11.0,36.0,mc077,29.0
71,Dez 2015,17.0,,20.0,3.0,25.0,mc077,31.0
72,Jan 2016,34.0,,23.0,6.0,32.0,mc077,28.0
73,Feb 2016,16.0,,15.0,2.0,18.0,mc077,45.0
74,Mär 2016,22.0,,16.0,4.0,22.0,mc077,47.0
75,Apr 2016,19.0,,13.0,2.0,16.0,mc077,61.0
76,Mai 2016,21.0,,9.0,1.0,10.0,mc077,78.0
77,Jun 2016,17.0,,9.0,1.0,11.0,mc077,65.0
78,Jul 2016,16.0,,8.0,1.0,10.0,mc077,59.0
79,Aug 2016,14.0,,10.0,1.0,12.0,mc077,49.0
80,Sep 2016,25.0,,14.0,2.0,17.0,mc077,53.0
81,Okt 2016,22.0,,12.0,3.0,17.0,mc077,23.0
82,Nov 2016,21.0,,22.0,9.0,35.0,mc077,21.0
83,Dez 2016,19.0,,24.0,10.0,39.0,mc077,26.0
84,Jan 2017,23.0,20.0,23.0,6.0,32.0,mc077,36.0
85,Feb 2017,34.0,30.0,20.0,4.0,26.0,mc077,43.0
86,Mär 2017,18.0,14.0,16.0,3.0,20.0,mc077,51.0
87,Apr 2017,16.0,12.0,10.0,2.0,12.0,mc077,65.0
88,Mai 2017,18.0,12.0,8.0,1.0,10.0,mc077,70.0
89,Jun 2017,19.0,9.0,9.0,2.0,11.0,mc077,62.0
90,Jul 2017,16.0,10.0,9.0,1.0,11.0,mc077,52.0
91,Aug 2017,14.0,9.0,10.0,2.0,13.0,mc077,44.0
92,Sep 2017,18.0,12.0,12.0,3.0,16.0,mc077,29.0
93,Okt 2017,18.0,12.0,15.0,3.0,19.0,mc077,27.0
94,Nov 2017,17.0,13.0,20.0,4.0,26.0,mc077,22.0
95,Dez 2017,13.0,11.0,17.0,4.0,24.0,mc077,30.0
96,Jan 2018,17.0,14.0,16.0,2.0,19.0,mc077,34.0
97,Feb 2018,24.0,20.0,20.0,3.0,25.0,mc077,36.0
98,Mär 2018,26.0,21.0,15.0,2.0,19.0,mc077,48.0
99,Apr 2018,22.0,15.0,13.0,2.0,15.0,mc077,66.0
100,Mai 2018,19.0,11.0,8.0,1.0,9.0,mc077,77.0
101,Jun 2018,16.0,10.0,8.0,1.0,9.0,mc077,70.0
102,Jul 2018,16.0,9.0,10.0,1.0,11.0,mc077,63.0
103,Aug 2018,18.0,8.0,12.0,1.0,13.0,mc077,69.0
104,Sep 2018,15.0,8.0,15.0,1.0,17.0,mc077,51.0
105,Okt 2018,18.0,13.0,18.0,4.0,24.0,mc077,35.0
106,Nov 2018,26.0,22.0,17.0,6.0,25.0,mc077,17.0
107,Dez 2018,14.0,12.0,15.0,4.0,22.0,mc077,27.0
108,Jan 2019,17.0,14.0,15.0,2.0,18.0,mc077,39.0
109,Feb 2019,23.0,19.0,24.0,7.0,35.0,mc077,32.0
110,Mär 2019,13.0,10.0,13.0,1.0,15.0,mc077,54.0
111,Apr 2019,22.0,14.0,8.0,0.0,8.0,mc077,77.0
112,Mai 2019,12.0,8.0,8.0,1.0,9.0,mc077,60.0
113,Jun 2019,16.0,10.0,9.0,0.0,9.0,mc077,73.0
114,Jul 2019,15.0,8.0,9.0,1.0,10.0,mc077,55.0
115,Aug 2019,16.0,9.0,12.0,2.0,14.0,mc077,56.0
116,Sep 2019,14.0,8.0,14.0,2.0,17.0,mc077,41.0
117,Okt 2019,19.0,12.0,15.0,5.0,23.0,mc077,22.0
118,Nov 2019,24.0,18.0,18.0,4.0,24.0,mc077,13.0
119,Dez 2019,17.0,13.0,22.0,6.0,31.0,mc077,24.0
120,Jan 2020,17.0,13.0,22.0,5.0,29.0,mc077,29.0
121,Feb 2020,11.0,8.0,13.0,1.0,14.0,mc077,49.0
122,Mär 2020,18.0,13.0,13.0,1.0,15.0,mc077,53.0
123,Apr 2020,20.0,10.0,8.0,1.0,10.0,mc077,71.0
124,Mai 2020,12.0,7.0,7.0,1.0,8.0,mc077,62.0
125,Jun 2020,15.0,8.0,7.0,1.0,7.0,mc077,61.0
126,Jul 2020,9.0,6.0,8.0,1.0,10.0,mc077,50.0
127,Aug 2020,13.0,8.0,11.0,1.0,12.0,mc077,62.0
128,Sep 2020,13.0,8.0,14.0,2.0,16.0,mc077,41.0
129,Okt 2020,14.0,10.0,13.0,2.0,16.0,mc077,25.0
130,Nov 2020,20.0,14.0,17.0,4.0,23.0,mc077,21.0
131,Dez 2020,23.0,19.0,16.0,3.0,21.0,mc077,18.0
132,Jan 2021,15.0,12.0,13.0,2.0,16.0,mc077,30.0
133,Feb 2021,24.0,18.0,18.0,4.0,24.0,mc077,38.0
134,Mär 2021,18.0,13.0,13.0,3.0,18.0,mc077,50.0
135,Apr 2021,16.0,10.0,7.0,1.0,9.0,mc077,67.0
136,Mai 2021,12.0,7.0,7.0,1.0,8.0,mc077,61.0
137,Jun 2021,16.0,10.0,6.0,0.0,7.0,mc077,70.0
138,Jul 2021,16.0,10.0,8.0,1.0,9.0,mc077,46.0
139,Aug 2021,11.0,7.0,7.0,1.0,8.0,mc077,45.0
140,Sep 2021,17.0,11.0,9.0,1.0,10.0,mc077,33.0
141,Okt 2021,17.0,12.0,13.0,2.0,16.0,mc077,29.0
142,Nov 2021,18.0,14.0,14.0,4.0,19.0,mc077,25.0
143,Dez 2021,19.0,16.0,16.0,3.0,21.0,mc077,25.0
144,Jan 2022,14.0,11.0,12.0,2.0,15.0,mc077,40.0
145,Feb 2022,10.0,8.0,10.0,2.0,11.0,mc077,54.0
146,Mär 2022,22.0,17.0,11.0,2.0,12.0,mc077,59.0
147,Apr 2022,12.0,8.0,6.0,2.0,7.0,mc077,69.0
148,Mai 2022,13.0,8.0,6.0,2.0,7.0,mc077,64.0
149,Jun 2022,13.0,9.0,8.0,2.0,9.0,mc077,63.0
150,Jul 2022,11.0,6.0,8.0,2.0,9.0,mc077,60.0
151,Aug 2022,15.0,9.0,10.0,2.0,11.0,mc077,55.0
152,Sep 2022,13.0,8.0,10.0,2.0,12.0,mc077,35.0
153,Okt 2022,19.0,12.0,13.0,4.0,18.0,mc077,20.0
154,Nov 2022,22.0,17.0,14.0,3.0,18.0,mc077,17.0
