Station;010 Wedding;032 Grunewald;042 Neukšlln;077 Buch (Pankow);085 Friedrichshagen (Treptow-Kšpenick);117 Schildhornstrasse (Steglitz);124 Mariendorfer Damm;143 Silbersteinstrasse (Neukšlln);171 Mitte;174 Frankfurter Allee (Friedrichshain);220 Karl-Marx-Strasse (Neukolln)
Messkomponente;Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10)
Einheit;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³;Âµg/mÂ³
Messzeit (Angaben in MESZ bzw. MEZ);Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte;Jahreswerte
;;;;;;;;;;;
2010;25;22;28;22;25;33;38;33;28;34;31
2011;26;21;25;21;21;28;33;32;25;30;30
2012;23;18;22;19;18;24;29;28;22;27;28
2013;24;18;23;20;19;27;29;27;23;28;27
2014;25;21;27;24;22;30;31;30;25;32;31
2015;22;17;22;20;20;22;29;26;23;29;26
2016;21;17;23;20;18;25;26;26;22;28;29
2017;20;17;22;18;16;23;26;28;22;28;28
2018;21;17;24;19;19;25;25;29;23;28;29
2019;18;16;19;17;16;21;22;22;19;24;22
2020;16;14;18;15;14;18;21;21;17;22;20
2021;16;15;17;17;15;21;22;28;19;23;