,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code
0,Jun 2021,27,14,21,4,28,mc221
1,Jul 2021,23,13,19,5,27,mc221
2,Aug 2021,17,10,21,7,31,mc221
3,Sep 2021,24,15,27,10,43,mc221
4,Okt 2021,24,15,29,14,51,mc221
5,Nov 2021,24,18,26,18,54,mc221
6,Dez 2021,25,20,29,17,56,mc221
7,Jan 2022,20,15,25,13,45,mc221
8,Feb 2022,15,10,23,10,39,mc221
9,MÃ¤r 2022,34,21,33,11,50,mc221
10,Apr 2022,19,11,21,6,30,mc221
11,Mai 2022,21,11,22,7,33,mc221
12,Jun 2022,19,11,23,6,32,mc221
13,Jul 2022,17,9,20,6,29,mc221
14,Aug 2022,22,11,21,5,28,mc221
15,Sep 2022,17,10,25,12,43,mc221
16,Okt 2022,23,15,31,24,67,mc221
17,Nov 2022,26,20,28,20,58,mc221
