Monat;Elektro;Benzin;Diesel
Jan 19; 195;4 238;1 760
Feb 19; 128;4 376;1 563
Mrz 19; 272;5 575;1 925
Apr 19; 162;4 720;1 960
Mai 19; 179;4 690;2 208
Jun 19; 169;4 942;1 838
Jul 19; 215;5 629;1 967
Aug 19; 123;4 403;1 935
Sep 19; 294;3 273;1 370
Okt 19; 248;4 108;1 728
Nov 19; 350;4 623;1 897
Dez 19; 253;4 311;1 530
Jan 20; 283;3 536;1 602
Feb 20; 235;3 451;1 544
Mrz 20; 223;2 166;1 218
Apr 20; 150;1 489; 740
Mai 20; 130;1 862; 814
Jun 20; 132;1 889; 910
Jul 20; 255;2 494;1 107
Aug 20; 517;3 546;1 631
Sep 20; 558;2 562;1 194
Okt 20; 434;2 527;1 161
Nov 20; 712;3 295;1 507
Dez 20;1 322;2 469;1 200
Jan 21; 402;1 549; 920
Feb 21; 440;1 559; 833
Mrz 21; 700;2 337;1 173
Apr 21; 532;2 033; 944
Mai 21; 535;1 931; 864
Jun 21; 839;2 560;1 022
Jul 21; 725;2 107; 756
Aug 21; 763;1 522; 585
Sep 21; 850;1 420; 605
Okt 21; 821;1 457; 548
Nov 21; 931;1 405; 558
Dez 21;1 199;1 442; 600
;;;